Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
NARS,light reflecting pressed setting powder,$36.00,,530 reviews,4.0,Makeup>Face Makeup>Face Powder>,Translucent Crystal
Herbivore,coco rose coconut oil lip polish,$18.00,0.17 oz,not rated,0.0,Skin Care>Lip Balm & Treatments>,
Anastasia Beverly Hills,brow gel,$22.00,0.28 oz,2035 reviews,4.4639,Makeup>Eye Makeup>Eyebrows>,Clear
Benefit Cosmetics,theyre real push up liner,$24.00,0.04 oz,3338 reviews,2.8235,Makeup>Eye Makeup>Eyeliner>,Beyond Blue|Beyond Brown|Beyond Green|Beyond Purple|Black
Estée Lauder,pure color envy sculpting eyeshadow 5 color palette,$50.00,,3 reviews,3.6667,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,YNC4--06|YNC4-01|YNC4-05|YNC4-07|YNC4-09|YNC4-10
Tata Harper,volumizing lip cheek tint,$35.00,0.15 oz,4 reviews,4.5,Makeup>Lips>Lip Stain>,Very Charming|Very Sweet|Very Vivacious
Yves Saint Laurent,baby doll kiss blush lips cheeks,$40.00,0.33 oz,187 reviews,4.2834,Makeup>Face Makeup>Blush>,01 Fuchsia Desinvolte|02 Rose Frivole|03 Rose Libre|04 Orange Fougueux|05 Rouge Effrontee|06 Rouge Libertine|07 Corail Affranchi|08 Pink Hedoniste|09 Rose Epicurien|10 Nude Insolent|11 Prune Impertinente|12 Mocha Garconne
SEPHORA COLLECTION,express cleansing wipes to go,$4.00,10,300 reviews,3.98,Skin Care>Face Wash & Cleanser>,
Guerlain,rouge automatique hydrating and long lasting lipstick,$37.00,0.12 oz,231 reviews,4.4416,Makeup>Lips>Lipstick>,Bal de Mai 160|Champs Elysees 165|Coque D'Or 120|Fleur de Feu 142|Nahema 143|Pink Fluo 662|Rouge D'Enfer 121
Hourglass,film noir full spectrum mascara,$28.00,0.35 oz,322 reviews,4.2484,Makeup>Eye Makeup>Mascara>,Onyx
Shiseido,veiled rouge,$25.00,0.07 oz,6 reviews,4.1667,Makeup>Lips>Lipstick>,BE301 Carrera|OR303 Orangerie|PK304 Skyglow|PK405 Pomegrante|RD302 Rosalie|RD506 Carnevale|RD707 Mischief|RS308 Sloe
Bite Beauty,best bite rewind,$25.00,,15 reviews,4.4667,Makeup>Lips>Lip Sets>,
MAKE UP FOR EVER,nude artist palette,$42.00,9 x 0.06 oz,155 reviews,4.4516,Makeup>Eye Makeup>Eyeshadow Palettes & Eye Sets>,Nudes You Need
Dior,rouge dior couture colour voluptuous care lipstick,$35.00,0.12 oz,not rated,0.0,Makeup>Lips>Lipstick>,Nouvelle Femme 542|Unique 956
Kat Von D,lock it featherweight primer,$32.00,1 oz,152 reviews,3.7303,Makeup>Face Makeup>Face Primer>,
Dior,star concealer,$36.00,0.20 oz,53 reviews,4.0377,Makeup>Eye Makeup>Under Eye Concealer>,001 Ivory|002 Beige|003 Sand|004 Honey|005 Mocha
Algenist,pore corrector anti aging primer,$42.00,1 oz,100 reviews,4.34,Skin Care>Face Serum & Treatments>,
Givenchy,phenonen eyes mascara,$31.00,,41 reviews,4.1707,Makeup>Eye Makeup>Mascara>,Deep Black |Deep Brown 
Ciaté London,bamboo bronzer longwear bronzing powder,$28.00,0.35 oz,5 reviews,4.8,Makeup>Face Makeup>Bronzer>,Palm Island|Star Island
Dolce & Gabbana,seductive lips set,$70.00,,not rated,0.0,Makeup>Lips>Lip Sets>,
MAKE UP FOR EVER,aqua liner,$23.00,0.058 oz,1370 reviews,4.0752,Makeup>Eye Makeup>Eyeliner>,1 Diamond Gold|10 Iridescent Red|11 Diamond Burgundy|12 Mat Mocha|13 Mat Black|14 Diamond Multicolor Black|15 Iridescent Anthracite|16 Diamond White|17 Diamond Grey|18 Diamond Blue|19 Diamond Pearly Pink|3 Iridescent Emerald Green|4 Diamond Lagoon Green|5 Diamond Turquoise Blue|6 Iridescent Navy Blue|7 Diamond Black Purple|8 Iridescent Electric Purple|9 Iridescent Fuchsia
Algenist,repairing tint radiance moisturizer spf 30,$42.00,,41 reviews,4.1707,Makeup>Face Makeup>Tinted Moisturizer>,Light|Light/Medium|Medium|Tan
SEPHORA COLLECTION,hakuho do sephora pro angled concealer brush kusuriyubi,$30.00,,8 reviews,4.875,Makeup>Face Makeup>Face Brushes>,
SEPHORA COLLECTION,pro full coverage airbrush 53xl,$45.00,,7 reviews,4.8571,Tools & Brushes>Makeup Brushes & Applicators>Face Brushes>,
Bobbi Brown,long wear cream shadow,$26.00,0.12 oz,310 reviews,4.3613,Makeup>Eye Makeup>Eyeshadow>,Ballet Pink|Beach Bronze|Bone|Cool Lilac|Galaxy|Heather|Sandy Gold|Shore|Stone
